age,annual_income,credit_score,employment_years,loan_amount,dti_ratio,num_credit_lines,previous_default,loan_purpose,home_ownership,approved
59,107603,736,16,39416,0.39,9,0,education,rent,1
49,100648,673,25,2511,0.77,13,0,education,rent,0
35,115469,657,1,19642,0.41,9,0,business,rent,1
63,56023,651,10,17615,0.61,10,0,medical,rent,0
28,67390,674,3,32589,0.28,5,1,other,mortgage,0
41,22083,644,10,25225,0.63,12,0,business,mortgage,0
59,96923,732,8,21846,0.29,14,0,education,mortgage,1
39,30805,648,5,30152,0.37,5,0,education,rent,0
43,65419,807,23,41517,0.41,6,0,debt_consolidation,rent,1
31,32567,797,1,1571,0.74,13,0,home_improvement,own,1
31,45278,608,25,27188,0.09,13,0,debt_consolidation,mortgage,0
44,39068,685,14,46000,0.2,8,0,medical,own,1
56,44803,627,4,43530,0.58,6,1,home_improvement,mortgage,0
60,46521,653,27,14217,0.48,14,1,business,mortgage,0
44,46293,840,11,42999,0.24,11,0,business,mortgage,1
23,80833,655,12,7609,0.27,13,0,medical,own,1
42,32378,708,16,48397,0.33,13,0,other,mortgage,0
22,65513,723,3,46041,0.39,12,0,education,rent,0
44,90448,599,9,6151,0.66,14,1,other,mortgage,0
64,47170,611,0,7406,0.06,6,1,business,rent,0
50,42052,583,10,48062,0.72,9,1,debt_consolidation,rent,0
58,54236,609,15,15893,0.36,1,1,education,rent,0
22,89493,451,10,33956,0.22,14,0,business,rent,0
41,64852,723,8,46841,0.43,4,0,education,mortgage,1
53,46719,844,1,8145,0.54,10,1,other,own,0
32,72096,691,6,39695,0.08,13,0,home_improvement,mortgage,0
42,32442,566,18,34367,0.59,10,0,business,rent,0
64,77033,628,29,14133,0.62,12,1,business,rent,0
45,70215,643,17,13209,0.17,2,0,education,own,1
47,52304,598,28,45292,0.18,9,0,home_improvement,rent,1
62,39035,748,19,48085,0.2,3,0,debt_consolidation,mortgage,1
48,37832,744,6,27965,0.65,10,0,home_improvement,own,0
36,73370,587,22,10145,0.25,11,0,debt_consolidation,mortgage,1
35,90724,738,8,48125,0.65,2,0,medical,own,0
64,44067,802,11,43585,0.46,8,0,other,own,1
23,71459,832,28,35638,0.63,4,0,home_improvement,rent,1
57,20000,850,2,21645,0.47,11,1,debt_consolidation,mortgage,0
27,45384,607,22,19408,0.3,2,0,education,mortgage,1
41,59223,850,21,13521,0.73,4,1,debt_consolidation,rent,1
29,37257,651,25,22878,0.59,7,0,medical,rent,1
59,36587,632,15,39221,0.41,14,0,debt_consolidation,mortgage,0
38,43305,706,6,35595,0.53,7,0,other,mortgage,1
24,67304,633,22,22086,0.51,1,0,home_improvement,rent,1
45,55316,711,25,17923,0.32,13,0,debt_consolidation,mortgage,1
34,20000,574,4,17225,0.37,12,0,home_improvement,own,0
29,20000,660,24,8202,0.29,12,0,medical,own,1
46,44828,782,22,31139,0.8,1,0,debt_consolidation,mortgage,1
22,71442,675,6,32974,0.49,3,0,debt_consolidation,mortgage,1
40,20000,691,27,27941,0.12,2,0,medical,mortgage,1
48,47506,718,29,38206,0.44,3,0,other,own,1
27,46843,773,18,20885,0.09,4,0,debt_consolidation,rent,1
64,94708,547,16,45907,0.27,14,1,home_improvement,mortgage,0
28,50374,726,15,12218,0.38,7,0,other,mortgage,1
55,69574,658,29,46692,0.45,2,0,business,mortgage,1
34,63531,693,29,29750,0.78,7,0,other,rent,1
37,20000,764,20,32612,0.79,5,0,business,rent,1
56,79205,584,23,7716,0.12,8,0,home_improvement,own,1
60,65384,598,20,17088,0.45,8,0,debt_consolidation,own,1
24,72706,525,25,32001,0.66,5,0,home_improvement,rent,1
22,158155,636,18,40586,0.23,10,1,medical,rent,0
26,20000,786,24,23584,0.61,8,1,home_improvement,mortgage,0
62,103117,670,17,5286,0.71,12,1,business,mortgage,0
24,52813,572,30,5739,0.55,14,0,other,mortgage,0
49,67183,641,18,31158,0.3,9,1,education,mortgage,0
38,58862,560,27,35857,0.74,7,0,medical,rent,0
46,49394,589,3,6605,0.71,6,0,debt_consolidation,mortgage,1
64,45754,711,25,40590,0.59,7,0,other,mortgage,0
54,68237,586,0,4321,0.32,7,0,home_improvement,mortgage,1
30,22070,769,26,45541,0.64,3,0,medical,rent,1
56,78764,674,3,34984,0.29,6,0,business,rent,0
34,49595,686,3,38653,0.24,6,0,debt_consolidation,mortgage,1
51,31748,657,8,13170,0.44,11,0,home_improvement,mortgage,0
35,48749,741,7,9933,0.8,9,0,other,mortgage,1
28,91428,742,1,23692,0.65,1,0,home_improvement,mortgage,1
34,46616,706,28,32474,0.6,13,0,debt_consolidation,rent,0
43,68961,725,22,10906,0.39,7,1,other,mortgage,1
60,41726,663,5,46004,0.28,1,0,education,mortgage,0
41,78948,723,22,24814,0.69,10,0,education,mortgage,1
36,77137,652,10,36565,0.48,13,0,medical,mortgage,0
65,106215,680,3,1818,0.66,4,1,home_improvement,rent,0
38,55610,658,29,9434,0.42,13,0,medical,mortgage,1
44,76716,643,13,31571,0.62,7,0,debt_consolidation,own,1
46,62451,624,20,41694,0.7,6,1,other,mortgage,0
45,92396,717,21,29890,0.34,6,0,medical,mortgage,1
65,42029,784,8,46485,0.06,5,0,home_improvement,mortgage,1
61,78625,773,1,13069,0.24,11,0,education,mortgage,1
49,55132,579,26,33780,0.74,7,0,education,rent,0
35,58395,783,24,39662,0.57,9,0,debt_consolidation,rent,1
65,62293,654,25,24434,0.6,14,0,business,mortgage,0
21,66306,728,0,8392,0.29,6,0,medical,rent,1
45,57094,607,3,17102,0.58,10,1,debt_consolidation,rent,0
27,65367,691,11,34457,0.53,7,0,education,mortgage,1
29,99452,705,4,23262,0.18,9,0,home_improvement,own,1
44,84636,561,8,12932,0.78,7,0,home_improvement,rent,0
21,81728,728,30,12766,0.32,6,0,other,rent,1
64,48611,787,21,23711,0.3,3,0,business,rent,1
28,37768,666,3,14292,0.33,14,0,business,own,0
44,83882,788,15,21687,0.12,1,0,education,rent,1
31,81901,664,1,48631,0.52,10,0,business,mortgage,0
37,96816,747,15,26899,0.23,9,0,business,own,1
28,44900,502,15,8408,0.65,7,0,home_improvement,rent,1
55,54261,850,20,11694,0.35,3,0,other,rent,1
55,20000,799,23,41910,0.39,10,0,medical,mortgage,1
53,50188,657,23,35533,0.53,9,0,home_improvement,rent,0
25,84914,522,21,16237,0.62,3,0,other,own,1
62,48337,703,10,6778,0.22,3,0,home_improvement,mortgage,1
59,76011,564,0,36059,0.77,13,0,education,rent,0
61,55237,715,14,27561,0.52,14,0,other,rent,0
48,68101,712,23,5866,0.05,7,1,other,mortgage,1
27,31307,604,3,9429,0.36,2,0,education,rent,1
29,62130,769,30,44352,0.38,10,0,other,rent,1
28,20000,744,29,45515,0.66,14,0,medical,rent,0
32,55327,758,17,23837,0.28,7,0,debt_consolidation,mortgage,1
54,20000,680,16,35075,0.3,7,0,business,mortgage,1
53,90149,566,6,35853,0.1,1,0,other,rent,1
43,79435,758,17,27395,0.26,13,0,business,own,1
44,71666,658,12,17415,0.59,10,0,home_improvement,rent,1
57,98025,568,19,32986,0.53,11,0,home_improvement,mortgage,0
55,36277,788,19,25104,0.11,2,0,other,rent,1
64,103684,847,28,1291,0.14,5,0,other,rent,1
60,83304,676,9,4686,0.33,14,0,other,mortgage,0
42,54086,850,30,46347,0.61,4,0,medical,rent,1
47,88390,687,0,2642,0.67,14,0,other,rent,0
55,32342,649,1,32477,0.06,3,1,business,mortgage,0
21,39387,629,16,25150,0.3,10,1,home_improvement,mortgage,0
55,44785,810,21,9769,0.37,14,0,home_improvement,mortgage,1
57,46775,617,28,30833,0.73,11,0,other,mortgage,0
34,33586,738,2,4909,0.43,8,0,education,own,1
23,90577,635,16,33078,0.25,7,0,debt_consolidation,rent,1
21,53528,643,11,13268,0.34,9,0,other,rent,1
25,68812,762,23,11844,0.38,3,0,medical,rent,1
46,45741,649,29,9638,0.55,10,0,debt_consolidation,rent,1
34,20000,647,11,38141,0.08,1,0,debt_consolidation,own,0
59,66751,770,29,12233,0.34,9,0,other,rent,1
47,20000,807,19,31496,0.53,9,0,medical,own,1
29,58284,731,9,18806,0.26,12,0,business,rent,1
35,25792,627,6,41326,0.49,12,0,other,rent,0
35,109681,639,9,14271,0.32,1,0,home_improvement,mortgage,1
46,82784,686,17,40513,0.62,14,0,medical,rent,0
62,62643,705,30,20465,0.1,8,0,home_improvement,rent,1
33,91592,600,21,40502,0.74,14,0,other,mortgage,0
52,38842,737,5,14860,0.18,14,0,other,mortgage,0
59,73586,686,6,9250,0.17,10,0,education,own,1
52,64995,542,27,42418,0.68,1,0,debt_consolidation,own,0
24,66600,605,16,22310,0.7,6,0,education,mortgage,1
50,91808,639,29,28982,0.12,9,0,debt_consolidation,rent,1
57,78312,674,11,33206,0.73,3,0,business,rent,1
43,67218,831,16,10764,0.25,6,0,medical,mortgage,1
